RegionName,Bedrooms,Date,Median_Rent
Austin,3,2010-03,1300.0
Austin,3,2010-04,1297.5
Austin,3,2010-05,1500.0
Austin,3,2010-06,1500.0
Austin,3,2010-07,1310.0
Austin,3,2010-08,1350.0
Houston,4,2010-08,1800.0
Austin,2,2010-09,1072.5
San Antonio,3,2010-09,1177.5
Austin,3,2010-09,1292.5
Houston,4,2010-09,1750.0
Austin,2,2010-10,995.0
San Antonio,3,2010-10,1100.0
Austin,3,2010-10,1185.0
Houston,4,2010-10,1600.0
Austin,2,2010-11,995.0
San Antonio,3,2010-11,1050.0
Austin,3,2010-11,1150.0
Houston,4,2010-11,1550.0
Austin,2,2010-12,950.0
San Antonio,3,2010-12,1150.0
Dallas,3,2010-12,1275.0
Austin,3,2010-12,1295.0
Houston,4,2010-12,1500.0
San Antonio,1,2011-01,655.0
San Antonio,2,2011-01,850.0
Austin,2,2011-01,995.0
San Antonio,3,2011-01,1035.0
Dallas,3,2011-01,1395.0
Austin,3,2011-01,1285.0
Arlington,3,2011-01,1200.0
Irving,3,2011-01,1597.5
Houston,4,2011-01,1592.5
Fort Worth,4,2011-01,1262.5
San Antonio,1,2011-02,597.0
Austin,1,2011-02,895.0
San Antonio,2,2011-02,810.0
Austin,2,2011-02,995.0
Arlington,2,2011-02,750.0
San Antonio,3,2011-02,1095.0
Dallas,3,2011-02,1250.0
Austin,3,2011-02,1300.0
Fort Worth,3,2011-02,1195.0
Arlington,3,2011-02,1195.0
Plano,3,2011-02,1495.0
Garland,3,2011-02,1050.0
Irving,3,2011-02,1550.0
Grand Prairie,3,2011-02,1175.0
McKinney,3,2011-02,1300.0
Frisco,3,2011-02,1447.0
Mesquite,3,2011-02,1050.0
Denton,3,2011-02,1172.5
Houston,4,2011-02,1500.0
Fort Worth,4,2011-02,1350.0
Plano,4,2011-02,1825.0
McKinney,4,2011-02,1595.0
Frisco,4,2011-02,2100.0
San Antonio,1,2011-03,595.0
Austin,1,2011-03,865.0
San Antonio,2,2011-03,810.0
Austin,2,2011-03,1015.0
Arlington,2,2011-03,786.0
Plano,2,2011-03,1126.0
San Antonio,3,2011-03,1095.0
Dallas,3,2011-03,1275.0
Austin,3,2011-03,1300.0
Fort Worth,3,2011-03,1195.0
El Paso,3,2011-03,1287.5
Arlington,3,2011-03,1195.0
Plano,3,2011-03,1459.0
Garland,3,2011-03,1095.0
Irving,3,2011-03,1375.0
Grand Prairie,3,2011-03,1300.0
McKinney,3,2011-03,1350.0
Frisco,3,2011-03,1400.0
Mesquite,3,2011-03,1095.0
Carrollton,3,2011-03,1300.0
Denton,3,2011-03,1197.5
Converse,3,2011-03,1050.0
Houston,4,2011-03,1550.0
San Antonio,4,2011-03,1395.0
Fort Worth,4,2011-03,1350.0
Plano,4,2011-03,1795.0
McKinney,4,2011-03,1595.0
Frisco,4,2011-03,2000.0
San Antonio,1,2011-04,595.0
Austin,1,2011-04,844.5
San Antonio,2,2011-04,800.0
Austin,2,2011-04,1075.0
Arlington,2,2011-04,750.0
Plano,2,2011-04,995.0
San Antonio,3,2011-04,1100.0
Dallas,3,2011-04,1400.0
Austin,3,2011-04,1350.0
Fort Worth,3,2011-04,1195.0
El Paso,3,2011-04,1300.0
Arlington,3,2011-04,1200.0
Plano,3,2011-04,1485.0
Garland,3,2011-04,1100.0
Irving,3,2011-04,1300.0
Grand Prairie,3,2011-04,1300.0
McKinney,3,2011-04,1380.0
Frisco,3,2011-04,1462.5
Mesquite,3,2011-04,1050.0
Carrollton,3,2011-04,1400.0
Denton,3,2011-04,1225.0
Converse,3,2011-04,1050.0
Houston,4,2011-04,1500.0
San Antonio,4,2011-04,1400.0
Fort Worth,4,2011-04,1372.5
El Paso,4,2011-04,1425.0
Plano,4,2011-04,1800.0
McKinney,4,2011-04,1650.0
Frisco,4,2011-04,1995.0
San Antonio,1,2011-05,595.0
Austin,1,2011-05,945.0
Plano,1,2011-05,799.0
San Antonio,2,2011-05,845.0
Austin,2,2011-05,1095.0
Arlington,2,2011-05,730.0
Plano,2,2011-05,1062.5
San Antonio,3,2011-05,1097.5
Dallas,3,2011-05,1395.0
Austin,3,2011-05,1450.0
Fort Worth,3,2011-05,1200.0
El Paso,3,2011-05,1200.0
Arlington,3,2011-05,1200.0
Plano,3,2011-05,1512.5
Garland,3,2011-05,1095.0
Irving,3,2011-05,1469.5
Grand Prairie,3,2011-05,1325.0
McKinney,3,2011-05,1395.0
Frisco,3,2011-05,1595.0
Mesquite,3,2011-05,1000.0
Carrollton,3,2011-05,1372.5
Denton,3,2011-05,1195.0
College Station,3,2011-05,1250.0
Little Elm,3,2011-05,1250.0
Converse,3,2011-05,1050.0
Houston,4,2011-05,1500.0
San Antonio,4,2011-05,1425.0
Fort Worth,4,2011-05,1300.0
El Paso,4,2011-05,1495.0
Plano,4,2011-05,1850.0
McKinney,4,2011-05,1600.0
Frisco,4,2011-05,1997.5
San Antonio,1,2011-06,600.0
Austin,1,2011-06,925.0
Fort Worth,1,2011-06,650.0
Plano,1,2011-06,815.5
San Antonio,2,2011-06,845.0
Austin,2,2011-06,1025.0
Arlington,2,2011-06,750.0
Plano,2,2011-06,1055.0
Richardson,2,2011-06,1007.0
San Antonio,3,2011-06,1100.0
Dallas,3,2011-06,1350.0
Austin,3,2011-06,1450.0
Fort Worth,3,2011-06,1200.0
El Paso,3,2011-06,1200.0
Arlington,3,2011-06,1200.0
Plano,3,2011-06,1495.0
Garland,3,2011-06,1195.0
Irving,3,2011-06,1495.0
Grand Prairie,3,2011-06,1195.0
McKinney,3,2011-06,1400.0
Frisco,3,2011-06,1550.0
Mesquite,3,2011-06,1075.0
Carrollton,3,2011-06,1400.0
Denton,3,2011-06,1195.0
College Station,3,2011-06,1225.0
Little Elm,3,2011-06,1272.5
Converse,3,2011-06,1050.0
Houston,4,2011-06,1500.0
San Antonio,4,2011-06,1445.0
Fort Worth,4,2011-06,1325.0
El Paso,4,2011-06,1450.0
Plano,4,2011-06,1895.0
McKinney,4,2011-06,1595.0
Frisco,4,2011-06,1972.5
San Antonio,1,2011-07,640.0
Dallas,1,2011-07,965.0
Austin,1,2011-07,860.0
Fort Worth,1,2011-07,705.0
Plano,1,2011-07,796.5
San Antonio,2,2011-07,838.5
Austin,2,2011-07,1063.5
Arlington,2,2011-07,767.5
Plano,2,2011-07,1085.0
Killeen,2,2011-07,550.0
Richardson,2,2011-07,945.0
San Antonio,3,2011-07,1150.0
Dallas,3,2011-07,1255.0
Austin,3,2011-07,1395.0
Fort Worth,3,2011-07,1195.0
El Paso,3,2011-07,1195.0
Arlington,3,2011-07,1185.0
Plano,3,2011-07,1495.0
Garland,3,2011-07,1114.5
Irving,3,2011-07,1497.0
Grand Prairie,3,2011-07,1172.5
Killeen,3,2011-07,775.0
McKinney,3,2011-07,1395.0
Round Rock,3,2011-07,1150.0
Frisco,3,2011-07,1529.0
Mesquite,3,2011-07,1050.0
Carrollton,3,2011-07,1400.0
Denton,3,2011-07,1195.0
College Station,3,2011-07,1125.0
Richardson,3,2011-07,1425.0
Allen,3,2011-07,1395.0
Mansfield,3,2011-07,1400.0
Little Elm,3,2011-07,1295.0
Converse,3,2011-07,1045.0
Houston,4,2011-07,1500.0
San Antonio,4,2011-07,1450.0
Fort Worth,4,2011-07,1400.0
El Paso,4,2011-07,1450.0
Plano,4,2011-07,1850.0
Sugar Land,4,2011-07,2100.0
McKinney,4,2011-07,1650.0
Frisco,4,2011-07,1950.0
San Antonio,1,2011-08,650.0
Dallas,1,2011-08,879.0
Austin,1,2011-08,830.0
Fort Worth,1,2011-08,661.0
Plano,1,2011-08,755.0
Round Rock,1,2011-08,749.0
San Antonio,2,2011-08,850.0
Austin,2,2011-08,1025.0
Arlington,2,2011-08,750.0
