Date,rate
1/1/2010,5.03
2/1/2010,4.99
3/1/2010,4.97
4/1/2010,5.1
5/1/2010,4.89
6/1/2010,4.74
7/1/2010,4.56
8/1/2010,4.43
9/1/2010,4.35
10/1/2010,4.23
11/1/2010,4.3
12/1/2010,4.71
1/1/2011,4.76
2/1/2011,4.95
3/1/2011,4.84
4/1/2011,4.84
5/1/2011,4.64
6/1/2011,4.51
7/1/2011,4.55
8/1/2011,4.27
9/1/2011,4.11
10/1/2011,4.07
11/1/2011,3.99
12/1/2011,3.96
1/1/2012,3.92
2/1/2012,3.89
3/1/2012,3.95
4/1/2012,3.91
5/1/2012,3.8
6/1/2012,3.68
7/1/2012,3.55
8/1/2012,3.6
9/1/2012,3.5
10/1/2012,3.38
11/1/2012,3.35
12/1/2012,3.35
1/1/2013,3.41
2/1/2013,3.53
3/1/2013,3.57
4/1/2013,3.45
5/1/2013,3.54
6/1/2013,4.07
7/1/2013,4.37
8/1/2013,4.46
9/1/2013,4.49
10/1/2013,4.19
11/1/2013,4.26
12/1/2013,4.46
1/1/2014,4.43
2/1/2014,4.3
3/1/2014,4.34
4/1/2014,4.34
5/1/2014,4.19
6/1/2014,4.16
7/1/2014,4.13
8/1/2014,4.12
9/1/2014,4.16
10/1/2014,4.04
11/1/2014,4
12/1/2014,3.86
1/1/2015,3.67
2/1/2015,3.71
3/1/2015,3.77
4/1/2015,3.67
5/1/2015,3.84
6/1/2015,3.98
7/1/2015,4.05
8/1/2015,3.91
9/1/2015,3.89
10/1/2015,3.8
11/1/2015,3.94
12/1/2015,3.96
1/1/2016,3.87
2/1/2016,3.66
3/1/2016,3.69
4/1/2016,3.61
5/1/2016,3.6
6/1/2016,3.57
7/1/2016,3.44
8/1/2016,3.44
9/1/2016,3.46
10/1/2016,3.47
11/1/2016,3.77
12/1/2016,4.2
1/1/2017,4.15
2/1/2017,4.17
3/1/2017,4.2
4/1/2017,4.05
5/1/2017,4.01
6/1/2017,3.9
7/1/2017,3.97
8/1/2017,3.88
9/1/2017,3.81
10/1/2017, 3.90
11/1/2017,3.92
12/1/2017,3.95
1/1/2018,4.03
2/1/2018,4.33
3/1/2018,4.44
4/1/2018,4.47
5/1/2018,4.59
6/1/2018,4.57
7/1/2018,4.53
8/1/2018,4.55
9/1/2018,4.63
10/1/2018,4.83
11/1/2018,4.87
12/1/2018,4.64
1/1/2019,4.46
2/1/2019,4.37
3/1/2019,4.27
4/1/2019,4.14
5/1/2019,4.07
6/1/2019,3.8
7/1/2019,3.77
8/1/2019,3.62
9/1/2019,3.61
10/1/2019,3.69
11/1/2019,3.7
12/1/2019,3.72
1/1/2020,3.62
2/1/2020,3.47
3/1/2020,3.45
4/1/2020,3.31
5/1/2020,3.23
6/1/2020,3.16
7/1/2020,3.02
8/1/2020,2.94
9/1/2020,2.89
10/1/2020,2.83
11/1/2020,2.77
12/1/2020,2.68
