,RegionName,State,Metro,CountyName,SizeRank,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12
2,Houston,TX,Houston-The Woodlands-Sugar Land,Harris County,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1250,1235,1250,1250,1299.5,1350,1395,1400,1400,1420,1400,1411,1400,1425,1425,1445,1467,1500,1500,1550,1510,1500,1500,1500,1500,1500,1500,1513.5,1550,1525,1495,1489.5,1450,1475,1450,1400,1437,1400,1450,1495,1495,1500,1500,1500,1500,1500,1500,1495,1480,1480,1475,1475,1500,1500,1550,1559.5,1575,1550,1545,1500,1500,1500,1500,1500,1500,1544,1550,1550,1550,1550,1550,1500,1500,1500
4,San Antonio,TX,San Antonio-New Braunfels,Bexar County,5,,,,,,,,1200,1195,1197,1137.5,1200,1095,1100,1125,1150,1175,1195,1200,1200,1153.5,1100,1100,1100,1150,1150,1150,1050,1050,1100,1125,1100,1095,1080,1095,1050,886,900,890,915,910,999,939,950,1000,1095,1075,1075,1075,1082,1100,1106,1100,1145,1157,1150,1125,1119,1100,1100,1100,1100,1125,1100,1133,1150,1145,1125,1100,1117,1125,1125,1145,1148.5,1115,1095,1082,1075,1095,1095,1065,1065,1095.5,1030,1165,1195,1200,1200,1227.5,1295,1275,1251,1250,1250,1245,1225,1250,1250,1250,1273,1295,1300,1300,1300,1289,1285,1295,1295,1295,1295,1300,1300,1325,1345,1349,1322.5,1299,1300,1299,1300
9,Dallas,TX,Dallas-Fort Worth-Arlington,Dallas County,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1095,1150,1080,1000,1131.5,1134.5,1200,1195,1100,1124,1200,1190,1200,1250,1295,1235,1250,1250,1230,1300,1250,1250,1230,1250,1300,1300,1350,1349.5,1300,1300,1300,1300,1300,1325,1378,1400,1400,1400,1495,1495,1400,1400,1400,1400,1448,1475,1500,1495,1495,1471,1450,1450,1400,1450,1495,1450,1500,1550,1600,1600,1650,1700,1650,1650,1679,1600,1600,1600,1600,1600,1600,1650,1650,1650,1690,1650,1600,1600,1650,1650,1672.5,1650,1695,1750,1800,1795,1800,1795,1795,1750,1750,1700
10,Austin,TX,Austin-Round Rock,Travis County,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1075,990,1045,1090,1250,1125,1190,1250,1340,1350,1300,1296,1308.5,1395,1425,1390,1395,1437,1425,1400,1395,1350,1345,1350,1350,1350,1400,1450,1500,1525,1519,1525,1529,1550,1500,1500,1525,1500,1400,1350,1450,1450,1430,1389,1340,1350,1350,1500,1550,1600,1650,1650,1695,1695,1650,1650,1645,1600,1599,1600,1630,1650,1675,1695,1700,1700,1700,1695,1695,1675,1675,1695,1695,1700,1730,1750,1775,1795,1775,1750,1775,1770,1750
16,Fort Worth,TX,Dallas-Fort Worth-Arlington,Tarrant County,17,,,,,,,,,,,,,,1250,1250,1250,1250,1250,1250,1250,1250,1200,1200,1200,1200,1225,1250,1200,1197,1200,1200,1200,1195,1195,1225,1200,1195,1195,1195,1200,1250,1280,1290,1250,1295,1290,1250,1295,1275,1265,1275,1289,1325,1350,1350,1350,1350,1300,1345,1350,1350,1350,1395,1395,1395,1395,1395,1395,1395,1395,1395,1395,1395,1400,1425,1449.5,1445,1425,1450,1450,1425,1425,1400,1400,1450,1450,1495,1500,1525,1550,1550,1550,1550,1525,1500,1500,1500,1525,1550,1595,1595,1595,1600,1600,1595,1575,1577.5,1595,1595,1595,1595,1600,1650,1650,1650,1650,1640,1600,1615,1600
21,El Paso,TX,El Paso,El Paso County,22,,,,,,,,,,,,,,,,1300,1250,1200,1200,1195,1200,1200,1175,1200,1200,1200,1200,1200,1195,1200,1195,1150,1100,1100,1095,1050,1025,1025,1050,1095,1095,1100,1100,1100,1100,1100,1065,1100,1095,1095,1090,1095,1150,1150,1150,1100,1100,1100,1100,1100,1100,1100,1125,1150,1150,1150,1150,1150,1125,1100,1100,1100,1100,1100,1100,1100,1100,1150,1125,1100,1095,1095,1075,1082.5,1095,1099,1100,1100,1150,1150,1125,1100,1100,1095,1075,1075,1075,1050,1100,1100,1100,1150,1150,1125,1100,1100,1100,1100,1100,1100,1100,1150,1150,1200,1200,1170,1150,1100,1125,1175
51,Arlington,TX,Dallas-Fort Worth-Arlington,Tarrant County,52,,,,,,,,,,,1199.5,1200,1200,1225,1200,1200,1200,1200,1200,1150,1100,1100,1072.5,1095,1095,1135,1147.5,1095,1095,1150,1095,1100,1100,1097.5,1150,1195,1100,1100,1095,1095,1100,1225,1200,1197,1225,1212.5,1200,1200,1200,1200,1200,1200,1295,1295,1275,1250,1250,1275,1295,1295,1300,1325,1350,1350,1325,1345,1350,1390,1350,1350,1325,1360,1350,1350,1395,1375,1350,1350,1395,1375,1395,1400,1395,1395,1449,1450,1450,1477.5,1495,1500,1500,1495,1500,1500,1495,1495,1500,1495,1500,1522.5,1525,1550,1550,1550,1550,1549,1525,1550,1550,1575,1592,1600,1600,1612.5,1600,1600,1645,1600,1600,1600
66,Corpus Christi,TX,Corpus Christi,Nueces County,67,,,,,,,,,,,,,,,,,,,,1350,1300,1250,1199.5,1200,1200,1200,1200,1300,1200,1295,1295,1272.5,1300,1300,1337.5,1200,1250,1300,1362.5,1325,1350,1350,1400,1412.5,1450,1500,1512.5,1550,1595,1550,1550,1550,1500,1600,1550,1500,1500,1550,1550,1500,1500,1550,1595,1600,1600,1600,1530,1575,1500,1500,1475,1475,1500,1450,1500,1600,1595,1575,1600,1595,1500,1550,1437.5,1400,1495,1500,1495,1495,1450,1495,1500,1500,1500,1500,1500,1500,1500,1500,1550,1500,1595,1550,1550,1550,1500,1495,1450,1495,1495,1550,1550,1590,1550,1595,1600,1600,1500,1495,1500,1500
79,Plano,TX,Dallas-Fort Worth-Arlington,Collin County,80,,,,,,,,,1672.5,1900,1685,1550,1595,1595,1595,1600,1625,1600,1600,1650,1650,1612.5,1550,1550,1595,1600,1595,1462.5,1595,1600,1625,1595,1600,1625,1650,1600,1595,1595,1595,1595,1650,1695,1692.5,1650,1600,1650,1650,1695,1695,1695,1700,1699,1750,1800,1800,1850,1800,1795,1795,1795,1795,1800,1800,1850,1850,1850,1895,1850,1849.5,1850,1800,1800,1850,1850,1850,1850,1895,1950,1900,1875,1875,1895,1895,1895,1895,1850,1850,1900,1950,1995,1995,1950,1950,1900,1895,1895,1900,1900,1950,1950,1990,1995,1995,2000,1995,1995,1995,1950,1950,1950,1950,2000,2050,2050,2023,2000,1995,1995,2000,2000
87,Lubbock,TX,Lubbock,Lubbock County,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1190,1050,1000,1050,995,995,900,950,995,995,1000,1000,1000,995,995,997.5,1100,1100,1100,1085,1000,1000,1125,1200,1200,1195,1200,1199,1150,1100,1100,1100,1100,1050,1075,1100,1195,1100,1100,1150,1100,1097.5,1050,1050,1050,1150,1195,1200,1200,1200,1200,1200,1125,1100,1100,1100,1095,1100,1175,1200,1200,1200,1200,1150,1100,1100,1125,1100,1137.5,1150,1200,1200,1200,1200,1200,1195,1100,1100,1150,1195,1195
