Date,Sales,Dollar,Average,Median,Total,Months
,,Volume,Price,Price,Listings,Inventory
1/1/2010,"10,797","1,903,489,506","176,298","135,888","127,713",6.9
2/1/2010,"13,781","2,473,331,194","179,474","139,997","131,375",7.1
3/1/2010,"20,465","3,765,171,165","183,981","142,833","138,366",7.4
4/1/2010,"22,893","4,213,410,864","184,048","145,475","139,065",7.3
5/1/2010,"23,812","4,477,632,292","188,041","146,844","146,389",7.5
6/1/2010,"22,864","4,604,055,088","201,367","150,953","152,451",7.8
7/1/2010,"17,336","3,552,354,432","204,912","153,007","155,243",8.2
8/1/2010,"17,831","3,523,690,896","197,616","151,735","153,348",8.2
9/1/2010,"16,050","3,039,613,200","189,384","145,572","149,686",8.1
10/1/2010,"14,990","2,813,548,050","187,695","143,518","144,963",8
11/1/2010,"14,398","2,770,405,568","192,416","145,083","140,087",7.9
12/1/2010,"16,423","3,289,444,785","200,295","149,485","133,433",7.6
1/1/2011,"11,469","2,074,954,229","180,918","137,500","134,468",7.7
2/1/2011,"12,790","2,408,712,442","188,328","144,000","135,748",7.8
3/1/2011,"18,508","3,513,464,437","189,835","142,000","140,104",8.1
4/1/2011,"18,978","3,603,229,040","189,863","144,000","138,149",8.1
5/1/2011,"20,491","4,051,910,433","197,741","148,500","142,565",8.5
6/1/2011,"22,851","4,628,954,861","202,571","151,000","141,762",8.4
7/1/2011,"20,399","4,052,550,137","198,664","150,000","138,981",8.1
8/1/2011,"22,125","4,341,939,048","196,246","150,000","133,618",7.6
9/1/2011,"18,648","3,550,597,359","190,401","147,000","130,366",7.4
10/1/2011,"16,533","3,118,581,490","188,628","145,000","126,301",7.1
11/1/2011,"15,651","2,920,194,441","186,582","145,000","120,859",6.7
12/1/2011,"17,265","3,366,157,817","194,970","149,500","112,524",6.3
1/1/2012,"12,613","2,251,742,447","178,526","137,000","113,194",6.3
2/1/2012,"15,485","2,887,656,681","186,481","145,000","114,471",6.3
3/1/2012,"20,050","3,986,187,934","198,812","152,000","115,842",6.3
4/1/2012,"20,778","4,233,336,499","203,741","154,500","117,607",6.3
5/1/2012,"24,375","5,184,856,550","212,712","160,000","118,531",6.3
6/1/2012,"25,507","5,469,997,443","214,451","163,000","118,707",6.2
7/1/2012,"24,268","5,106,145,813","210,407","161,500","118,088",6.1
8/1/2012,"25,962","5,339,512,894","205,666","159,000","114,234",5.8
9/1/2012,"20,101","4,044,198,156","201,194","157,388","111,261",5.6
10/1/2012,"21,014","4,215,264,721","200,593","155,000","107,213",5.3
11/1/2012,"19,153","3,903,467,893","203,805","157,000","102,897",5
12/1/2012,"19,529","4,157,532,776","212,890","160,000","95,544",4.6
1/1/2013,"15,660","2,952,700,828","188,550","148,000","95,383",4.5
2/1/2013,"17,575","3,504,090,027","199,379","155,000","97,211",4.6
3/1/2013,"23,546","5,003,624,585","212,504","162,400","96,556",4.5
4/1/2013,"25,860","5,856,534,901","226,471","169,900","97,065",4.4
5/1/2013,"29,765","6,854,719,861","230,295","175,000","97,916",4.4
6/1/2013,"28,282","6,688,541,482","236,495","179,000","99,978",4.4
7/1/2013,"30,215","7,024,221,097","232,475","177,900","101,623",4.4
8/1/2013,"29,656","6,770,781,449","228,311","175,000","101,011",4.3
9/1/2013,"24,063","5,310,960,063","220,711","170,000","99,260",4.2
10/1/2013,"22,790","4,968,537,472","218,014","169,000","97,331",4.1
11/1/2013,"19,771","4,375,278,197","221,298","169,000","93,215",3.9
12/1/2013,"21,550","4,946,306,079","229,527","173,120","87,348",3.6
1/1/2014,"15,910","3,335,651,293","209,658","162,500","87,138",3.6
2/1/2014,"18,608","4,157,071,842","223,402","172,000","88,708",3.7
3/1/2014,"23,306","5,354,430,957","229,745","176,000","89,522",3.7
4/1/2014,"25,515","5,992,417,085","234,859","178,200","91,839",3.8
5/1/2014,"28,932","7,081,071,266","244,749","185,000","94,725",3.9
6/1/2014,"30,458","7,561,191,272","248,250","190,000","97,154",4
7/1/2014,"30,183","7,372,582,453","244,263","189,000","98,628",4.1
8/1/2014,"29,150","6,998,629,747","240,090","186,000","97,255",4
9/1/2014,"25,656","6,065,163,334","236,403","182,500","94,524",3.9
10/1/2014,"25,636","5,995,295,138","233,862","179,900","92,427",3.8
11/1/2014,"20,162","4,749,904,896","235,587","182,000","87,665",3.6
12/1/2014,"24,388","5,974,021,757","244,957","189,000","82,116",3.3
1/1/2015,"16,384","3,730,469,867","227,690","177,000","81,070",3.3
2/1/2015,"18,777","4,413,660,578","235,057","185,000","82,110",3.3
