,RegionName,State,Metro,CountyName,Bedroom,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12
2,Houston,TX,Houston-The Woodlands-Sugar Land,Harris County,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1260,1119,1224,1125,1072,1105,1210,1212,1234.5,1200,1229,1245,1184,1199,1190,1200,1200,1225,1229,1225,1225,1225,1240,1240.5,1357.5,1355,1374,1295,1325,1300,1295,1281,1239,1195,1230,1170,1109,1150,1200,1230,1240,1250,1250,1220,1210,1229,1240,1250,1270,1283.5,1282,1308,1315,1315,1300,1300,1290,1292,1277,1272,1279,1265,1250,1250,1265,1270,1269,1286,1275,1275,1270,1264,1245,1249
4,San Antonio,TX,San Antonio-New Braunfels,Bexar County,1,,,,,,,,,,,,655,597,595,595,595,600,640,650,650,639,670,675,685,715,732.5,695,685,680,679.5,730,725,708,715,695,711,715,734,750,730,731,729,750,760,775,775,790,799,800,800,800,775,796,786,787.5,780,775,780,789,785,790,779,773.5,775,775,783,795,795,800,850,850,825,820,850,825,800,820,804,820,834,790,807,779.5,810,835,840,850,909,900,886,885,899,900,893.5,900,899,957,938,929,947,961,950,965,950,945,958.5,945,952,983,985,981,985,999,1000,1000,991,985,974.5,967.5
9,Dallas,TX,Dallas-Fort Worth-Arlington,Dallas County,1,,,,,,,,,,,,,,,,,,965,879,880,828,795,900,870,865,945,875,989,1014,975,965,1048.5,1025,1050,1084,1150,1059,1083,1083,1026,1096,1100,1050,1095,1107,1150,1159,1180,1144,1136,1164,1150,1179,1147,1115,1125,1150,1199.5,1200,1160,1129.5,1119,1153,1150,1169,1198.5,1199,1226,1200,1195,1195,1205,1255,1275,1250,1247,1265,1266,1237.5,1310,1275,1250,1210,1300,1293,1307,1306,1310,1320,1325,1350,1329,1310,1348,1325,1325,1371,1345,1334,1350,1361,1370,1370,1355,1375,1359,1345,1360,1398,1376,1375,1375,1360,1355,1330,1335,1340,1330,1340
10,Austin,TX,Austin-Round Rock,Travis County,1,,,,,,,,,,,,,895,865,844.5,945,925,860,830,845,875,920,895,915,935,945,935,950,930.5,895,871,930,920,915,886,860,880,859,875,874.5,876,895,900,925,949,995,997.5,999,975,1050,1104,1010,1000,1031,1032,1045,1039,1075,1010,1015,1049,1025,1070,1025,1020,1049,1069,1085,1090,1085.5,1093.5,1094,1094,1105,1100,1079,1099,1066,1075,1075,1041,1015,990,1065.5,1095,1091,1117,1150,1118.5,1104,1100,1099,1086,1099,1128,1130,1168,1185,1199,1205,1205,1202,1210,1220,1225,1228,1225,1275,1325,1278,1319,1350,1350,1349,1350,1350,1345,1345,1340
16,Fort Worth,TX,Dallas-Fort Worth-Arlington,Tarrant County,1,,,,,,,,,,,,,,,,,650,705,661,650,649.5,617,619,650,699,699,665,671,700,699,723,700,700,699,700,700,699,708,707,735,726,728.5,706,749,737,670,751,793,775.5,775,834.5,799.5,801.5,771,776,756,781,830,850,885,925,922,902,899,869,869,942.5,932,976,951.5,954,950,959,997,989.5,1037,1010.5,982.5,1050,1022,965,1011,946.5,1030.5,1025,1084,1210.5,1169,1215,1210,1220,1228,1204,1208,1220,1200,1220,1214,1212,1220,1200.5,1260,1320,1325,1349,1340,1353,1350,1345,1345,1350,1344,1300,1293,1280,1266,1250,1250,1260
21,El Paso,TX,El Paso,El Paso County,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,615,650,650,585,600,625,675,675,675,623.5,617,577.5,550,530,595,575,590.5,594,603,617,645,595,608,618,561.5,567,599,571,575,569,550,550,550,560,550,550,552.5,556.5,574,588,595,595,598.5,599,595,590,616.5,600,640,697.5,702.5,725,715,700,725,725,689,725,699.5,680,650,625,630,610
50,Arlington,TX,Dallas-Fort Worth-Arlington,Tarrant County,1,,,,,,,,,,,,,,,,,,,,532,550,539,525,539,565,578,575,599.5,585,565,568,585,599,605,595,591,595,611,615,627,615,602.5,634,650,622.5,599,642,665,648.5,650,648,668,669,665,665,671,671,660,665,651,650,710,750,732,730,750,779,780,763.5,807.5,836.5,805,810,822,819,795,785,812,820,849.5,845,785,820,804,817.5,835,855,904,978,980,969,912,898,895,895,876.5,893.5,950,950,965,970,992,971,954.5,935,937,925,926,935,909,920,920,933.5,925,932,930,921,925,919
64,Corpus Christi,TX,Corpus Christi,Nueces County,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,800,817,895,895,850,825,805,877,834,800,850,805,795,799.5,797.5,775,775,769,800,802.5,880,913,950,984,916,884,907.5,939,859,869,885,909,789,800,865,795,879,850,869,857.5,915,959,972.5,1000,1005,939,934,905.5,915,929,949,949.5,1035,1049,1058.5,1073.5,1050,1009,956,910,924,927,948,993,1025.5,992,1010.5,975,915.5,886,875
75,Plano,TX,Dallas-Fort Worth-Arlington,Collin County,1,,,,,,,,,,,,,,,,799,815.5,796.5,755,794,770,775,800,810,795,804,815,788,790.5,823.5,810,816,840,834,843,883,873.5,853.5,858,890.5,899,882.5,874.5,889,905,904,899,899.5,892,903,924.5,929,968.5,946,927,904,890,939,951,967,930,920,955,960,980,1005,1026,1007.5,1034,1039.5,1035,1022.5,1049.5,1067,1039,1063,1080,1069,1085,1200,1129,1085,1075.5,1093,1109,1131,1135.5,1129,1170,1156.5,1160,1155,1140,1170,1141,1160,1210,1169,1164,1150,1219.5,1200,1175,1214,1227.5,1195,1185,1181,1185,1189.5,1165,1180,1180,1163,1180,1235,1236,1259,1280
82,Lubbock,TX,Lubbock,Lubbock County,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,551,635,635,635,635,608,625.5,562,595.5,583,575,576,607,609,575,590.5,585,604,582,575,575,516.5,562.5,600.5,561.5,640,630,624,600,600,585,550,550,575,582.5,550,595,644,603,600,626,629.5,625,650,655,656,650,623.5,600,600,625,625,600,595,575,595,599,590,597.5
