,RegionID,Bedroom,RegionName,RegionType,StateName,State,Metro,CountyName,1/31/2010,2/28/2010,3/31/2010,4/30/2010,5/31/2010,6/30/2010,7/31/2010,8/31/2010,9/30/2010,10/31/2010,11/30/2010,12/31/2010,1/31/2011,2/28/2011,3/31/2011,4/30/2011,5/31/2011,6/30/2011,7/31/2011,8/31/2011,9/30/2011,10/31/2011,11/30/2011,12/31/2011,1/31/2012,2/29/2012,3/31/2012,4/30/2012,5/31/2012,6/30/2012,7/31/2012,8/31/2012,9/30/2012,10/31/2012,11/30/2012,12/31/2012,1/31/2013,2/28/2013,3/31/2013,4/30/2013,5/31/2013,6/30/2013,7/31/2013,8/31/2013,9/30/2013,10/31/2013,11/30/2013,12/31/2013,1/31/2014,2/28/2014,3/31/2014,4/30/2014,5/31/2014,6/30/2014,7/31/2014,8/31/2014,9/30/2014,10/31/2014,11/30/2014,12/31/2014,1/31/2015,2/28/2015,3/31/2015,4/30/2015,5/31/2015,6/30/2015,7/31/2015,8/31/2015,9/30/2015,10/31/2015,11/30/2015,12/31/2015,1/31/2016,2/29/2016,3/31/2016,4/30/2016,5/31/2016,6/30/2016,7/31/2016,8/31/2016,9/30/2016,10/31/2016,11/30/2016,12/31/2016,1/31/2017,2/28/2017,3/31/2017,4/30/2017,5/31/2017,6/30/2017,7/31/2017,8/31/2017,9/30/2017,10/31/2017,11/30/2017,12/31/2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020
2,39051,1,Houston,City,TX,TX,Houston-The Woodlands-Sugar Land,Harris County,67653,67444,67260,67041,66721,66084,65187,64471,64045,63894,63800,63651,63342,62769,62075,61670,61609,61770,62065,62317,62517,62639,62636,62769,62829,63131,63442,63538,63419,63376,63527,63695,63872,64132,64404,64616,64964,65405,66197,67201,68282,69075,69828,70632,71554,72275,73054,73666,74422,75160,75576,76047,76451,77270,78094,79094,80001,80808,81668,82763,83791,84496,85391,86103,86978,87477,87814,88266,88828,89718,89997,90093,90467,91227,91990,92460,92938,93633,94544,94881,94970,95050,95892,96789,97146,97380,97511,97738,97789,97965,98072,98264,98261,98300,98429,98793,99232,99434,99702,100296,100960,101299,101623,101855,102559,102767,103192,103437,104090,104592,104751,104701,104701,104937,105155,105502,105618,106083,106186,106299,106161,106271,106635
4,6915,1,San Antonio,City,TX,TX,San Antonio-New Braunfels,Bexar County,61988,61888,61742,61448,61283,61251,61421,61736,61863,61554,60951,60455,59936,59471,58934,58507,57832,57143,56626,56455,56331,56213,56017,55721,55470,55060,54733,54545,54740,55098,54941,54378,53824,54005,54458,54888,55071,55489,56118,56705,56714,56404,56556,57335,58087,58350,58324,58599,59107,59307,59163,59002,59520,60551,61455,61621,61682,61587,62147,62405,62956,63609,64469,65065,65475,65485,65226,65186,65604,66544,66732,67079,67027,67292,67474,67901,68263,68921,69850,70617,71071,71292,71964,72648,73510,74201,74728,75048,75538,76046,76924,77797,78617,79161,79829,80269,80409,80456,81041,81949,82545,83022,83497,84360,84602,85160,85282,86360,87147,88381,88914,89485,90030,90717,91135,91256,91958,92577,93383,93500,93963,94115,94557
9,38128,1,Dallas,City,TX,TX,Dallas-Fort Worth-Arlington,Dallas County,70689,70262,69747,69430,69072,68922,68414,67925,67191,66876,66376,65997,65766,65371,64968,64274,63616,63054,62473,62645,62896,63264,63203,62989,62746,62765,62902,63024,63169,63431,64153,64358,64383,64101,64208,64676,65259,65777,66210,66830,67640,68339,69277,70010,70938,71548,72170,72460,72787,73323,73918,74329,74271,74452,73790,74002,74067,74933,75479,76125,76791,77289,77910,78713,79883,80897,82189,82936,83646,84196,84917,85823,86329,86975,87672,88717,89810,90833,92154,93336,95022,96439,98044,99333,100458,101514,102497,103882,105288,106640,107756,108093,108400,108824,110093,111688,113662,115603,117255,118321,119430,120586,121314,122510,121983,121634,120769,121825,123232,124713,125439,126060,126448,127201,128243,129296,131491,133499,135324,135456,135102,134699,135080
10,10221,1,Austin,City,TX,TX,Austin-Round Rock,Travis County,160583,159888,159707,159591,159835,159623,159166,158636,158466,158350,157757,157012,156449,156013,155485,154936,154095,153722,153636,154223,154447,154409,154306,154322,154974,155788,156949,157885,158912,160082,161244,162325,163076,163855,164406,165871,167065,168711,169883,172032,174073,175853,177271,178324,180074,182013,184540,186031,187481,188497,190171,191645,193365,194738,195856,197274,199148,201097,202478,203631,205005,206683,208125,208949,209849,211330,213942,216302,217819,218675,219926,221954,224167,225799,226936,227988,229015,230056,230799,231584,232592,234389,236337,237844,238215,238635,239721,241375,242778,243328,243693,244157,245234,246085,247051,247890,248814,249675,250270,250556,251009,252455,254088,255843,256302,257525,257701,259042,260318,262587,263312,263883,264106,264684,265207,265589,266687,267187,268417,268891,269627,269656,270911
16,18172,1,Fort Worth,City,TX,TX,Dallas-Fort Worth-Arlington,Tarrant County,104317,104317,103408,102882,102607,103130,102439,102441,102267,102286,101258,99925,98590,97103,96365,95313,94436,93040,93200,92958,92922,92097,92009,91586,91904,91423,91153,90652,91688,92763,93672,93352,92961,92574,93218,93937,94934,96468,98060,99491,99748,100331,100955,102607,104329,106198,106503,107163,107455,108338,108960,109517,110087,110822,111464,112660,113174,114279,115782,116929,117925,118289,119254,120767,122563,123863,124986,125404,126321,126786,127222,128316,129053,130448,130841,131544,132008,132674,133564,134312,135565,136697,138540,139873,141027,141800,142895,144020,145247,146638,147888,148979,150238,152289,153803,154827,155849,157127,158607,159515,160182,160641,161069,161348,162097,163808,166049,167855,168554,168622,168229,168009,168378,168865,169324,170025,170136,169141,167850,167262,167579,168277,169143
21,17933,1,El Paso,City,TX,TX,El Paso,El Paso County,88924,88626,88790,88763,89081,88620,88367,88345,89384,90225,90520,89875,89388,89340,89644,90055,89967,89856,89852,89605,88866,87901,87468,87524,87422,87012,86206,85419,84917,85216,85504,85586,85266,84817,84444,84402,84509,85076,85116,85084,84910,84574,83876,83026,82571,82384,82163,81433,81130,80495,80776,80261,79954,79124,79067,79591,80015,80276,80041,79956,79689,79525,79065,79375,79644,80199,80126,79789,79431,79112,78980,78932,78797,78803,78741,78640,78410,78098,78156,78241,78551,78803,79414,80270,80877,81181,81385,81853,82091,82071,81562,81456,81414,81794,82078,82320,82538,82570,82408,81933,81938,82547,83319,83922,84583,85297,85638,85912,86321,86986,87494,88153,88773,89064,89416,89724,89930,89913,90172,90460,90702,90889,91309
51,50763,1,Arlington,City,TX,TX,Dallas-Fort Worth-Arlington,Tarrant County,62513,62503,62145,61580,61079,61024,60547,59863,58962,58313,57668,57156,56580,56061,55362,54554,53986,53484,53529,53499,53816,53246,52939,52509,52835,52646,52380,52004,51918,51784,51723,51804,52003,52219,52340,52408,51870,51835,52215,53072,53388,53901,54026,54772,55088,56247,56815,57269,57692,58142,58691,58664,58954,59118,59423,59096,58980,58876,59314,59444,59705,59699,60012,60802,61631,62023,62370,62733,63236,63005,62477,62683,63231,64440,64870,64833,64545,64487,64997,65279,65604,66005,67237,68482,68793,68118,67591,67930,68784,70114,71142,72424,73389,75018,76000,76843,77883,79759,81753,82565,83025,83541,84483,85683,86563,88262,89903,91787,92876,92834,92827,93597,95152,96147,96888,97412,98538,98694,99220,99718,101122,103310,105490
66,38025,1,Corpus Christi,City,TX,TX,Corpus Christi,Nueces County,82074,81447,80664,80889,80729,80837,80798,80952,80377,79208,77914,77433,78106,78405,78433,77091,76814,76093,75776,74680,74862,75544,76353,75924,74734,73733,74265,75067,74988,74442,74444,75352,75545,75154,74661,74933,75623,76789,76397,76630,76722,77555,77339,76730,76233,76315,76480,77363,77617,77775,77896,77833,78074,78593,79924,81531,83415,85557,87648,88474,88881,88915,89327,90152,91078,92067,92215,92239,91916,91600,91443,91010,91607,92213,93838,95100,96019,96432,96576,96834,96773,96973,97091,98458,98918,99543,99021,98367,97985,97541,97887,97027,96972,96246,96538,96114,96003,95666,94810,93744,92928,93321,94473,96353,96941,97229,96254,95542,94656,94412,95614,97575,99122,99595,99307,99104,99661,100811,102571,104352,106359,107996,108996
79,53915,1,Plano,City,TX,TX,Dallas-Fort Worth-Arlington,Collin County,108873,108354,108093,107466,106969,106200,105719,104423,103182,101440,99995,98852,97894,97583,97003,96817,96924,97630,98388,98975,99512,100951,101878,102613,102588,102930,103506,103602,103155,102057,100974,100812,101049,101243,101434,102042,103574,104375,105023,105719,106853,108146,109419,110222,110915,111247,112633,113051,113288,113297,113864,114702,115499,116447,117778,119179,120650,121824,122640,123605,124915,126827,129038,130897,132301,134180,135273,136746,137209,138420,138980,140742,141947,143646,144567,145825,147112,147852,149173,150092,151840,153962,156363,157990,159329,160200,160594,161120,161909,163471,164830,165942,167194,167448,168075,168414,168778,168856,170065,172013,174205,175749,176811,177866,178055,178204,178047,178362,178632,179191,179015,178464,177495,176692,176258,176034,176241,176851,177430,177910,178493,179113,179903
87,53060,1,Lubbock,City,TX,TX,Lubbock,Lubbock County,65802,65978,66314,66987,67815,67908,67986,67683,67848,67524,67188,66868,66806,66378,65876,65251,64679,64889,65240,65655,65809,65423,65151,64327,64180,64487,65224,65644,65281,64908,64237,63981,63573,63937,63938,64413,64622,64882,65163,64727,65288,64571,64833,64481,64554,64605,64867,65632,65851,65683,65100,65499,65509,66194,66082,66198,66221,65405,64930,63687,63002,62453,61718,60707,59359,58945,58815,58718,58726,59197,59725,60064,60237,60411,61012,62264,63680,64645,65262,65959,65890,65823,65738,66623,67402,67940,68187,68016,68256,68333,68716,68964,69489,70409,70816,71456,71828,72832,73639,74214,74528,74894,75120,75819,76749,77304,77656,77988,78928,79223,78806,78582,78665,79121,79627,79871,80037,80346,81188,81801,82229,82993,84602
