,Real,Predicted
2017-04-30,240650.0,239448.8
2017-05-31,241713.00000000003,240525.4
2017-06-30,242531.99999999997,241700.36
2017-07-31,243254.99999999997,242947.64
2017-08-31,243386.0,244209.53
2017-09-30,243960.99999999997,245244.48
2017-10-31,244566.0,246018.45
2017-11-30,245345.00000000003,246604.14
2017-12-31,245944.0,247072.06
2018-01-31,246731.00000000003,247472.98
2018-02-28,247412.0,247830.78
2018-03-31,248063.0,248320.4
2018-04-30,248792.00000000003,248837.67
2018-05-31,249533.99999999997,249379.64
2018-06-30,250447.00000000003,249900.36
2018-07-31,251319.00000000003,250453.97
2018-08-31,252031.0,250996.47
2018-09-30,252299.00000000003,251560.27
2018-10-31,252501.00000000003,252150.03
2018-11-30,252631.0,252730.53
2018-12-31,252953.0,253273.88
2019-01-31,253208.0,253703.72
2019-02-28,253640.0,253998.03
2019-03-31,254513.0,254176.98
2019-04-30,255685.0,254364.98
2019-05-31,257001.0,254609.83
2019-06-30,258066.0,254976.55
2019-07-31,259074.0,255458.27
2019-08-31,260367.0,256114.78
2019-09-30,261690.99999999997,256939.44
2019-10-31,262948.0,257840.25
2019-11-30,264124.0,258746.53
2019-12-31,265139.0,259618.67
2020-01-31,266023.0,260523.66
2020-02-29,266611.0,261476.66
