Date,Real,Predicted
2017-03-31,119490.0,111232.69
2017-04-30,119904.0,111369.36
2017-05-31,120674.0,111579.625
2017-06-30,121225.0,111967.78
2017-07-31,121618.0,112243.15
2017-08-31,121954.0,112438.305
2017-09-30,122527.00000000001,112604.305
2017-10-31,123198.99999999999,112885.55
2017-11-30,123866.0,113212.37
2017-12-31,124553.0,113533.445
2018-01-31,125269.0,113860.64
2018-02-28,125769.00000000001,114197.766
2018-03-31,126073.00000000001,114430.81
2018-04-30,126485.0,114571.52
2018-05-31,127443.0,114761.055
2018-06-30,128444.0,115196.44
2018-07-31,129304.99999999999,115643.336
2018-08-31,130125.0,116021.09
2018-09-30,130990.00000000001,116375.1
2018-10-31,131958.0,116742.41
2018-11-30,132684.0,117145.98
2018-12-31,133776.0,117443.47
2019-01-31,134826.0,117882.555
2019-02-28,136410.0,118295.305
2019-03-31,137433.0,118900.55
2019-04-30,138085.0,119280.42
2019-05-31,138302.0,119518.06
2019-06-30,138738.0,119596.38
2019-07-31,139385.0,119752.61
2019-08-31,140043.0,119981.62
2019-09-30,140703.0,120211.09
2019-10-31,141259.0,120437.836
2019-11-30,142048.0,120626.21
2019-12-31,142366.0,120889.414
2020-01-31,142724.0,120994.13
2020-02-29,142883.0,121111.125
