,Real,Predicted
2017-06-30,155990.0,148844.9
2017-07-31,156524.0,149082.58
2017-08-31,156855.0,149313.64
2017-09-30,157085.0,149527.33
2017-10-31,157437.0,149734.48
2017-11-30,157841.0,149933.5
2017-12-31,158408.0,150127.98
2018-01-31,158927.0,150300.56
2018-02-28,159648.00000000003,150452.45
2018-03-31,160235.0,150601.33
2018-04-30,160882.0,150748.1
2018-05-31,161813.0,150890.39
2018-06-30,162823.0,151020.9
2018-07-31,163679.0,151151.0
2018-08-31,164434.0,151284.84
2018-09-30,165336.0,151428.08
2018-10-31,166423.0,151582.77
2018-11-30,167327.0,151745.64
2018-12-31,168170.0,151915.28
2019-01-31,168976.0,152087.08
2019-02-28,170247.0,152261.34
2019-03-31,171291.0,152433.16
2019-04-30,171802.0,152606.45
2019-05-31,171767.0,152779.33
2019-06-30,171866.0,152943.52
2019-07-31,172367.0,153094.66
2019-08-31,172991.0,153234.48
2019-09-30,173649.0,153365.0
2019-10-31,174131.0,153484.1
2019-11-30,174780.0,153589.3
2019-12-31,175298.0,153684.81
2020-01-31,175883.0,153772.73
2020-02-29,176138.0,153854.02
