,Real,Predicted Rent
2018-04,1315.0,1229.3219
2018-05,1315.0,1229.552
2018-06,1300.0,1229.725
2018-07,1300.0,1229.9878
2018-08,1290.0,1230.3594
2018-09,1292.0,1230.6896
2018-10,1277.0,1230.8875
2018-11,1272.0,1231.0923
2018-12,1279.0000000000002,1231.3118
2019-01,1265.0,1231.6233
2019-02,1249.9999999999998,1231.7828
2019-03,1249.9999999999998,1232.0104
2019-04,1265.0,1232.2306
2019-05,1270.0000000000002,1232.5394
2019-06,1268.9999999999998,1232.727
2019-07,1286.0,1232.7712
2019-08,1275.0,1232.7687
2019-09,1275.0,1232.818
2019-10,1270.0000000000002,1232.948
2019-11,1264.0,1233.0776
2019-12,1245.0,1233.2317
